timestamp;sensor id;sensor reading;
1559335224;0;9;
1559335224;1;18446744073709551572;
1559335224;6;41;
1559335224;4;18446744073709543448;
1559335225;2;20;
1559335225;9;18446744073709551597;
1559335225;8;3;
1559335225;3;18446744073709551551;
1559335225;5;18446744073709551534;
1559335225;7;18446744073709551551;
1559335225;1;18446744073709551604;
1559335225;0;101;
1559335225;6;76;
1559335225;4;18446744073709551541;
1559335226;2;101;
1559335226;3;18446744073709550975;
1559335226;8;85;
1559335226;9;18446744073709531167;
1559335226;5;18446744073709551597;
1559335226;7;18446744073709551587;
1559335226;1;18446744073709551556;
1559335226;0;115;
1559335226;6;31;
1559335226;4;18446744073709551583;
1559335227;2;54;
1559335227;9;18446744073709551554;
1559335227;8;89;
1559335227;3;18446744073709551607;
1559335227;5;18446744073709551582;
1559335227;7;18446744073709551615;
1559335227;0;56;
1559335227;1;1631074424;
1559335227;6;112;
1559335227;4;18446744073709551595;
1559335228;2;51;
1559335228;3;18446744073709551549;
1559335228;8;108;
1559335228;9;892021572;
1559335228;5;18446744073709551609;
1559335228;7;18446744073709551551;
1559335228;0;90;
1559335228;1;623980836;
1559335228;6;82;
1559335228;4;18446744073709551527;
1559335229;2;25;
1559335229;3;18446744072658047871;
1559335229;9;18446744073709545583;
1559335229;8;92;
1559335229;5;18446744073709551615;
1559335229;7;18446744073709551575;
1559335229;1;18446744073709521483;
1559335229;0;60;
1559335229;6;45;
1559335229;4;18446744073709551554;
1559335230;3;18446744073709551551;
1559335230;2;29;
1559335230;8;85;
1559335230;9;18446744073709527354;
1559335230;5;18446744073709551615;
1559335230;7;18446744073709551583;
1559335230;1;18446744073709532732;
1559335230;0;37;
1559335230;6;41;
1559335230;4;18446744073709551558;
1559335231;3;18446744073709548415;
1559335231;2;55;
1559335231;8;68;
1559335231;9;908535559;
1559335231;5;18446744072291710542;
1559335231;7;18446744073709551611;
1559335231;0;47;
1559335231;1;1126047272;
1559335231;6;105;
1559335231;4;18446744073709525353;
1559335232;3;18446744073709551591;
1559335232;2;50;
1559335232;8;87;
1559335232;9;778462847;
1559335232;5;18446744073704592446;
1559335232;7;18446744073709551575;
1559335232;1;337254978;
1559335232;0;57;
1559335232;6;2;
1559335232;4;18446744073709551561;
1559335233;3;18446744073709551599;
1559335233;2;43;
1559335233;8;17;
1559335233;9;1816610604;
1559335233;5;18446744073709551597;
1559335233;7;18446744073709551595;
1559335233;0;8;
1559335233;1;18446744073709551544;
1559335233;6;103;
1559335233;4;18446744073709551545;
1559335234;3;18446744073709541950;
1559335234;2;106;
1559335234;9;138888989;
1559335234;8;60;
1559335234;5;18446744073709551614;
1559335234;7;18446744073709551611;
1559335234;0;54;
1559335234;1;18446744073709551606;
1559335234;6;55;
1559335234;4;1819966007;
1559335235;3;18446744073709551601;
1559335235;2;110;
1559335235;8;53;
1559335235;9;879718228;
